Name,Family Name,Years Python,Use Case Python,Neural Network,Python Skill,Tokenisation,Regression,Neural Work,NLP,Tokenisation Method,Timestamp
john,PYTHON,28,de,"Yes, I am familiar with neural networks. I understand their fundamental principles, including layers, weights, activation functions, loss functions, and backpropagation. I have practical experience using neural networks for tasks such as classification and prediction, and I am comfortable working with common architectures like feedforward networks, convolutional neural networks (CNNs), and recurrent neural networks (RNNs).","I would rate my Python skills at 17/20. I am very comfortable with Python for data analysis, scripting, automation, and machine learning. I regularly use libraries such as Pandas, NumPy, Scikit-learn, and PyTorch or TensorFlow. I also follow good coding practices, including clean code structure, documentation, and testing.","Tokenisation is the process of transforming raw text into smaller units called tokens, which can be words, subwords, or characters. These tokens are used as the basic input for natural language processing models. Tokenisation is a crucial preprocessing step because it directly impacts how text is represented numerically and how effectively a model can understand and learn from language data.","Regression refers to a family of statistical and machine learning methods used to model the relationship between input variables and a continuous output variable. The goal of regression is to predict numerical values, such as prices, probabilities, or trends, by learning patterns and dependencies in the data. Common examples include linear regression and more advanced non-linear regression models.","Yes, I work with neural networks. My work includes designing, training, and evaluating models for tasks such as classification, prediction, and text analysis. I am involved in data preprocessing, model architecture selection, hyperparameter tuning, and performance evaluation. I also focus on ensuring that models are efficient, interpretable when possible, and suitable for deployment in real-world applications.","Natural Language Processing (NLP) is a field of artificial intelligence that focuses on enabling machines to understand, interpret, and generate human language. It combines linguistics, computer science, and machine learning to process text or speech data. NLP is used in applications such as text classification, sentiment analysis, information extraction, translation, and conversational systems.","Yes, I have used several tokenisation methods depending on the task and model. These include word-level tokenisation, subword tokenisation methods such as Byte-Pair Encoding (BPE) and WordPiece, and character-level tokenisation. Subword tokenisation is particularly useful for handling rare words and reducing vocabulary size, especially in modern transformer-based models.",2026-02-02T12:20:39.412386
john2,PYTHON,91,de,"Yes, I am familiar with neural networks. I understand their fundamental principles, including layers, weights, activation functions, loss functions, and backpropagation. I have practical experience using neural networks for tasks such as classification and prediction, and I am comfortable working with common architectures like feedforward networks, convolutional neural networks (CNNs), and recurrent neural networks (RNNs).","I would rate my Python skills at 17/20. I am very comfortable with Python for data analysis, scripting, automation, and machine learning. I regularly use libraries such as Pandas, NumPy, Scikit-learn, and PyTorch or TensorFlow. I also follow good coding practices, including clean code structure, documentation, and testing.  creation de softfare","Tokenisation is the process of transforming raw text into smaller units called tokens, which can be words, subwords, or characters. These tokens are used as the basic input for natural language processing models. Tokenisation is a crucial preprocessing step because it directly impacts how text is represented numerically and how effectively a model can understand and learn from language data.","Regression refers to a family of statistical and machine learning methods used to model the relationship between input variables and a continuous output variable. The goal of regression is to predict numerical values, such as prices, probabilities, or trends, by learning patterns and dependencies in the data. Common examples include linear regression and more advanced non-linear regression models.","Yes, I work with neural networks. My work includes designing, training, and evaluating models for tasks such as classification, prediction, and text analysis. I am involved in data preprocessing, model architecture selection, hyperparameter tuning, and performance evaluation. I also focus on ensuring that models are efficient, interpretable when possible, and suitable for deployment in real-world applications.","Natural Language Processing (NLP) is a field of artificial intelligence that focuses on enabling machines to understand, interpret, and generate human language. It combines linguistics, computer science, and machine learning to process text or speech data. NLP is used in applications such as text classification, sentiment analysis, information extraction, translation, and conversational systems.","Yes, I have used several tokenisation methods depending on the task and model. These include word-level tokenisation, subword tokenisation methods such as Byte-Pair Encoding (BPE) and WordPiece, and character-level tokenisation. Subword tokenisation is particularly useful for handling rare words and reducing vocabulary size, especially in modern transformer-based models.",2026-02-02T12:24:20.735020
john3,PYTHON,91,API development and integration,"Yes, I am familiar with neural networks. I understand their fundamental principles, including layers, weights, activation functions, loss functions, and backpropagation. I have practical experience using neural networks for tasks such as classification and prediction, and I am comfortable working with common architectures like feedforward networks, convolutional neural networks (CNNs), and recurrent neural networks (RNNs).","I would rate my Python skills at 17/20. I am very comfortable with Python for data analysis, scripting, automation, and machine learning. I regularly use libraries such as Pandas, NumPy, Scikit-learn, and PyTorch or TensorFlow. I also follow good coding practices, including clean code structure, documentation, and testing.  creation de softfare","Tokenisation is the process of transforming raw text into smaller units called tokens, which can be words, subwords, or characters. These tokens are used as the basic input for natural language processing models. Tokenisation is a crucial preprocessing step because it directly impacts how text is represented numerically and how effectively a model can understand and learn from language data.","Regression refers to a family of statistical and machine learning methods used to model the relationship between input variables and a continuous output variable. The goal of regression is to predict numerical values, such as prices, probabilities, or trends, by learning patterns and dependencies in the data. Common examples include linear regression and more advanced non-linear regression models.","Yes, I work with neural networks. My work includes designing, training, and evaluating models for tasks such as classification, prediction, and text analysis. I am involved in data preprocessing, model architecture selection, hyperparameter tuning, and performance evaluation. I also focus on ensuring that models are efficient, interpretable when possible, and suitable for deployment in real-world applications.","Natural Language Processing (NLP) is a field of artificial intelligence that focuses on enabling machines to understand, interpret, and generate human language. It combines linguistics, computer science, and machine learning to process text or speech data. NLP is used in applications such as text classification, sentiment analysis, information extraction, translation, and conversational systems.","Yes, I have used several tokenisation methods depending on the task and model. These include word-level tokenisation, subword tokenisation methods such as Byte-Pair Encoding (BPE) and WordPiece, and character-level tokenisation. Subword tokenisation is particularly useful for handling rare words and reducing vocabulary size, especially in modern transformer-based models.",2026-02-02T12:25:50.656346
jean,python,91,development d'api et intégration,"Oui, je suis familier avec les réseaux de neurones. J’en comprends les principes fondamentaux, notamment les couches, les poids, les fonctions d’activation, la fonction de perte et la rétropropagation du gradient. J’ai également une expérience pratique avec différents types d’architectures, comme les réseaux de neurones entièrement connectés, les réseaux convolutifs (CNN) et les réseaux récurrents (RNN).","J’évalue mon niveau en Python à 17/20. J’utilise Python régulièrement pour l’analyse de données, l’automatisation, et le développement de modèles de machine learning. Je maîtrise les bibliothèques courantes telles que Pandas, NumPy, Scikit-learn ainsi que des frameworks de deep learning comme PyTorch ou TensorFlow. Je fais également attention à la qualité du code, à sa lisibilité et à sa maintenabilité.","La tokenisation est une étape de prétraitement du texte qui consiste à découper un texte brut en unités plus petites appelées tokens. Ces tokens peuvent être des mots, des sous-mots ou des caractères. La tokenisation est essentielle en traitement automatique du langage naturel, car elle permet de transformer le texte en une représentation exploitable par les modèles de machine learning.","La régression désigne un ensemble de méthodes statistiques et de machine learning dont l’objectif est de modéliser la relation entre des variables explicatives et une variable cible continue. Elle est utilisée pour prédire des valeurs numériques, comme des prix, des durées ou des probabilités, en apprenant les relations présentes dans les données.","Oui, je travaille sur des réseaux de neurones. Mes activités incluent la préparation des données, la conception des architectures de modèles, l’entraînement et l’évaluation des performances. Je réalise également des ajustements d’hyperparamètres et je veille à la robustesse et à la capacité de généralisation des modèles, notamment en vue d’une utilisation en production.","Le Natural Language Processing (NLP), ou traitement automatique du langage naturel, est un domaine de l’intelligence artificielle qui vise à permettre aux machines de comprendre, analyser et générer le langage humain. Il combine des concepts de linguistique et de machine learning pour traiter des données textuelles ou vocales, et est utilisé dans des applications comme l’analyse de sentiments, la classification de textes, la traduction automatique ou les chatbots.","Oui, j’ai utilisé plusieurs méthodes de tokenisation en fonction des cas d’usage. Cela inclut la tokenisation au niveau des mots, ainsi que des méthodes de sous-mots comme le Byte-Pair Encoding (BPE) ou WordPiece. Ces approches permettent de mieux gérer les mots rares et de réduire la taille du vocabulaire, ce qui est particulièrement utile pour les modèles de type transformers.",2026-02-02T14:40:52.070929
marie,dupont,12,"Analyse de données, automatisation de rapports et développement de modèles prédictifs.","Oui, je suis à l’aise avec les réseaux de neurones et leurs mécanismes principaux, notamment l’apprentissage supervisé et non supervisé.","Je situe mon niveau Python à 16/20 grâce à une pratique régulière en data science et scripting.","La tokenisation consiste à découper un texte en unités exploitables par un algorithme.","La régression permet de prédire une valeur continue à partir de variables explicatives.","J’ai travaillé sur des réseaux de neurones simples pour la prédiction de séries temporelles.","Le NLP permet aux machines de comprendre et traiter le langage humain.","J’ai utilisé BPE et tokenisation par mots.",2026-02-02T14:41:01.120931
paul,moreau,8,"Développement d’outils internes et scripts d’automatisation.","Oui, je comprends les concepts clés comme les couches et la rétropropagation.","Je m’évalue à 15/20 en Python, avec une bonne maîtrise des bibliothèques standards.","La tokenisation est une étape clé pour transformer le texte en données numériques.","La régression sert à modéliser des relations numériques continues.","J’ai implémenté des réseaux feedforward pour des problèmes simples.","Le NLP est l’ensemble des techniques de traitement automatique du langage.","J’ai utilisé WordPiece.",2026-02-02T14:41:05.331204
lucas,bernard,5,"Scripting, nettoyage de données et visualisation.","J’ai des bases solides mais une expérience limitée en production.","Je me donne 13/20 en Python.","La tokenisation permet de découper le texte pour l’analyse.","La régression est utilisée pour prédire des valeurs réelles.","Je n’ai réalisé que des projets académiques.","Le NLP permet l’analyse sémantique des textes.","Tokenisation par mots.",2026-02-02T14:41:09.842110
sophie,legrand,15,"Conception de pipelines data et modèles de machine learning.","Oui, j’ai travaillé avec des CNN et des RNN.","Mon niveau Python est de 18/20.","La tokenisation transforme un texte en unités compréhensibles par les modèles.","La régression est un outil fondamental en prédiction numérique.","J’ai entraîné des modèles neuronaux pour la classification.","Le NLP vise à donner du sens aux données textuelles.","BPE et SentencePiece.",2026-02-02T14:41:14.119482
antoine,robin,3,"Automatisation de tâches et petits scripts.","Notions théoriques principalement.","Je m’évalue à 11/20 en Python.","La tokenisation découpe le texte en éléments.","La régression permet d’estimer une variable continue.","Aucune expérience professionnelle.","Le NLP est le traitement automatique des langues.","Tokenisation simple.",2026-02-02T14:41:18.502144
julie,perrin,9,"Développement d’applications data-driven.","Oui, je maîtrise les bases et certaines architectures.","Mon niveau Python est de 16/20.","La tokenisation est essentielle pour préparer les textes.","La régression prédit des valeurs numériques.","J’ai utilisé des réseaux neuronaux pour l’analyse de données.","Le NLP analyse et génère du texte.","WordPiece et BPE.",2026-02-02T14:41:23.993821
